Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-11-11,Breakfast,574.0,28.4,18.7,0.0,0.0,0.0,0.0,186.0,0.0,60.7,0.0,53.9,18.5,0.0,0.0,0.0,0.0
2012-11-11,Lunch,805.0,35.0,14.7,0.0,11.9,0.0,182.0,2597.0,0.0,91.0,22.4,0.0,35.0,0.0,0.0,0.0,0.0
2012-11-11,Dinner,614.8,41.6,11.4,3.6,19.4,0.0,44.6,656.8,1638.6,50.4,8.4,30.5,18.8,78.4,114.7,44.2,14.1
2012-11-11,Snacks,72.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2012-11-12,Lunch,840.0,59.0,13.0,0.0,0.0,0.0,153.0,1787.0,672.0,81.5,2.0,0.0,56.3,0.0,0.0,2.0,10.0
2012-11-12,Dinner,585.9,38.8,9.4,3.7,19.4,0.0,44.6,600.8,2081.0,54.9,9.9,29.1,16.0,84.7,128.8,49.0,18.8
2012-11-12,Snacks,1508.0,91.1,18.0,0.0,0.0,0.0,0.0,122.2,0.0,106.8,9.8,83.8,19.4,0.0,0.0,4.0,0.0
2012-11-13,Breakfast,430.0,10.8,1.6,1.0,2.0,0.0,0.0,167.0,210.0,66.6,8.6,30.6,18.0,15.0,0.0,0.0,50.0
2012-11-13,Lunch,1610.0,70.0,29.4,0.0,23.8,0.0,364.0,5194.0,0.0,182.0,44.8,0.0,70.0,0.0,0.0,0.0,0.0
2012-11-13,Dinner,1355.6,97.6,25.0,9.8,47.0,0.0,937.2,1427.6,3055.2,82.2,14.4,45.0,51.6,147.0,187.0,96.4,38.4
2012-11-13,Snacks,212.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2012-11-14,Breakfast,190.0,7.0,7.0,0.0,0.0,0.0,0.0,660.0,0.0,30.0,2.0,24.0,6.0,4.0,0.0,0.0,12.0
2012-11-14,Lunch,840.0,28.0,12.0,0.0,0.0,0.4,80.0,2080.0,0.0,112.0,4.0,8.0,40.0,16.0,16.0,40.0,60.0
2012-11-14,Snacks,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-17,Breakfast,320.0,7.4,0.8,1.0,2.0,0.0,0.0,151.0,210.0,53.8,6.8,21.8,11.0,15.0,0.0,0.0,50.0
2012-11-17,Dinner,620.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1360.0,141.0,16.0,108.0,0.0,0.0,36.0,2.0,22.0
