Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps
2012-11-10,Dips,Strength,,,7,10,36.3,
2012-11-10,"Rowing, stationary, very vigorous effort",Cardio,227.0,22,,,,
2012-11-10,"Step-ups, vigorous",Cardio,251.0,20,,,,
2012-11-11,Chin-Ups,Strength,,,3,8,36.3,
2012-11-11,Dips,Strength,,,5,10,36.3,
2012-11-11,"Rowing, stationary, very vigorous effort",Cardio,300.0,30,,,,
2012-11-11,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,52.0,5,,,,
2012-11-11,"Step-ups, vigorous",Cardio,225.0,20,,,,
2012-11-12,"Rowing, stationary, very vigorous effort",Cardio,200.0,30,,,,
2012-11-12,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,60.0,5,,,,
2012-11-12,"Step-ups, vigorous",Cardio,222.0,20,,,,
2012-11-13,Dips,Strength,,,3,10,36.3,
2012-11-13,"Rowing, stationary, very vigorous effort",Cardio,200.0,20,,,,
2012-11-13,"Step-ups, vigorous",Cardio,241.0,20,,,,
2012-11-18,Elliptical Trainer,Cardio,35.0,10,,,,
2012-11-18,"Rowing, stationary, very vigorous effort",Cardio,200.0,20,,,,
2012-11-18,"Step-ups, vigorous",Cardio,224.0,20,,,,
2012-11-24,"Rowing, stationary, very vigorous effort",Cardio,200.0,20,,,,
2012-11-24,"Step-ups, vigorous",Cardio,223.0,20,,,,
2012-11-25,"Rowing, stationary, very vigorous effort",Cardio,212.0,20,,,,
2012-11-25,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,100.0,11,,,,
2012-11-25,"Step-ups, vigorous",Cardio,218.0,20,,,,
2012-12-03,Elliptical Trainer,Cardio,10.0,10,,,,
2012-12-03,"Rowing, stationary, very vigorous effort",Cardio,201.0,20,,,,
2012-12-03,"Running (jogging), in place",Cardio,41.0,10,,,,
2012-12-03,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,151.0,17,,,,
2012-12-03,"Step-ups, vigorous",Cardio,222.0,20,,,,
2012-12-05,"Rowing, stationary, very vigorous effort",Cardio,200.0,20,,,,
2012-12-05,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,182.0,23,,,,
2012-12-05,"Step-ups, vigorous",Cardio,245.0,20,,,,
2012-12-06,"Rowing, stationary, very vigorous effort",Cardio,235.0,20,,,,
2012-12-06,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,231.0,30,,,,
2012-12-06,"Step-ups, vigorous",Cardio,162.0,15,,,,
2012-12-09,Elliptical Trainer,Cardio,40.0,10,,,,
2012-12-09,"Rowing, stationary, very vigorous effort",Cardio,225.0,20,,,,
2012-12-09,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,166.0,20,,,,
2012-12-09,"Step-ups, vigorous",Cardio,221.0,20,,,,
2012-12-19,Elliptical Trainer,Cardio,65.0,10,,,,
2012-12-19,"Rowing, stationary, very vigorous effort",Cardio,220.0,20,,,,
2012-12-19,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,167.0,20,,,,
2012-12-19,"Step-ups, vigorous",Cardio,60.0,6,,,,
2012-12-20,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,280.0,30,,,,
2012-12-29,Elliptical Trainer,Cardio,34.0,2,,,,
2012-12-29,"Rowing, stationary, very vigorous effort",Cardio,225.0,20,,,,
2012-12-29,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,225.0,25,,,,
2012-12-29,"Step-ups, vigorous",Cardio,197.0,20,,,,
2013-03-16,"Rowing, stationary, very vigorous effort",Cardio,225.0,20,,,,
2013-03-16,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,180.0,25,,,,
2013-03-16,"Step-ups, vigorous",Cardio,219.0,20,,,,
2013-03-17,Elliptical Trainer,Cardio,32.0,2,,,,
2013-03-17,"Rowing, stationary, very vigorous effort",Cardio,227.0,20,,,,
2013-03-17,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,140.0,20,,,,
2013-03-17,"Step-ups, vigorous",Cardio,74.0,20,,,,
2013-03-17,"Step-ups, vigorous",Cardio,143.0,20,,,,
2013-03-19,Elliptical Trainer,Cardio,22.0,3,,,,
2013-03-19,"Rowing, stationary, very vigorous effort",Cardio,222.0,21,,,,
2013-03-19,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,137.0,11,,,,
2013-03-19,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,40.0,5,,,,
2013-03-19,"Step-ups, vigorous",Cardio,83.0,7,,,,
2013-03-19,"Step-ups, vigorous",Cardio,197.0,20,,,,
2013-03-20,Elliptical Trainer,Cardio,12.0,3,,,,
2013-03-20,Elliptical Trainer,Cardio,36.0,5,,,,
2013-03-20,"Rowing, stationary, very vigorous effort",Cardio,211.0,20,,,,
2013-03-20,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,132.0,20,,,,
2013-03-20,"Step-ups, vigorous",Cardio,192.0,20,,,,
2013-03-24,"Rowing, stationary, very vigorous effort",Cardio,228.0,20,,,,
2013-03-24,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,133.0,20,,,,
2013-03-24,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,124.0,20,,,,
2013-03-24,"Step-ups, vigorous",Cardio,218.0,20,,,,
2013-03-25,"Rowing, stationary, very vigorous effort",Cardio,213.0,20,,,,
2013-03-25,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,130.0,20,,,,
2013-03-25,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,121.0,20,,,,
2013-03-25,"Step-ups, vigorous",Cardio,191.0,20,,,,
2013-03-27,"Rowing, stationary, very vigorous effort",Cardio,214.0,20,,,,
2013-03-27,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,137.0,20,,,,
2013-03-27,"Stationary bike, light effort (bicycling, cycling, biking)",Cardio,125.0,20,,,,
2013-03-27,"Step-ups, vigorous",Cardio,187.0,20,,,,
2013-07-06,"Running (jogging), 5 mph (12 min mile)",Cardio,249.0,17,,,,
2013-07-07,"Running (jogging), 5 mph (12 min mile)",Cardio,249.0,17,,,,
2013-07-08,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,733.0,50,,,,
2013-07-10,"Running (jogging), 5 mph (12 min mile)",Cardio,249.0,17,,,,
2013-07-13,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,3871.0,264,,,,
2013-07-16,"Running (jogging), 5 mph (12 min mile)",Cardio,264.0,18,,,,
2013-07-17,"Running (jogging), 5 mph (12 min mile)",Cardio,235.0,16,,,,
2013-08-01,"Running (jogging), 5 mph (12 min mile)",Cardio,227.0,16,,,,
2013-08-15,"Running (jogging), 5 mph (12 min mile)",Cardio,270.0,19,,,,
2013-08-17,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,2424.0,300,,,,
2013-08-19,"Running (jogging), 5 mph (12 min mile)",Cardio,298.0,21,,,,
2013-08-23,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1533.0,160,,,,
2013-08-25,"Running (jogging), 5 mph (12 min mile)",Cardio,270.0,19,,,,
2013-08-27,"Running (jogging), 5 mph (12 min mile)",Cardio,383.0,27,,,,
2013-08-31,"Running (jogging), 5 mph (12 min mile)",Cardio,227.0,16,,,,
2013-09-03,"Running (jogging), 5 mph (12 min mile)",Cardio,270.0,19,,,,
2013-09-05,"Running (jogging), 5 mph (12 min mile)",Cardio,369.0,26,,,,
2013-09-06,"Running (jogging), 5 mph (12 min mile)",Cardio,312.0,22,,,,
2013-09-08,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1236.0,220,,,,
2013-09-09,"Running (jogging), 5 mph (12 min mile)",Cardio,341.0,24,,,,
2013-09-10,"Running (jogging), 5 mph (12 min mile)",Cardio,454.0,32,,,,
2013-09-12,"Running (jogging), 5 mph (12 min mile)",Cardio,355.0,25,,,,
2013-09-14,"Running (jogging), 5 mph (12 min mile)",Cardio,327.0,23,,,,
2013-09-15,"Running (jogging), 5 mph (12 min mile)",Cardio,383.0,27,,,,
2013-09-17,"Running (jogging), 5 mph (12 min mile)",Cardio,383.0,27,,,,
2013-09-18,"Running (jogging), 5 mph (12 min mile)",Cardio,327.0,23,,,,
2013-09-19,"Running (jogging), 5 mph (12 min mile)",Cardio,369.0,26,,,,
2013-09-23,"Running (jogging), 5 mph (12 min mile)",Cardio,327.0,23,,,,
2013-09-24,"Running (jogging), 5 mph (12 min mile)",Cardio,312.0,22,,,,
2013-09-25,"Running (jogging), 5 mph (12 min mile)",Cardio,355.0,25,,,,
2013-09-28,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1104.0,220,,,,
2013-09-28,"Running (jogging), 5 mph (12 min mile)",Cardio,213.0,15,,,,
2013-09-29,"Running (jogging), 5 mph (12 min mile)",Cardio,199.0,14,,,,
2013-09-30,"Running (jogging), 5 mph (12 min mile)",Cardio,454.0,32,,,,
2013-10-01,"Running (jogging), 5 mph (12 min mile)",Cardio,256.0,18,,,,
2013-10-02,"Running (jogging), 5 mph (12 min mile)",Cardio,369.0,26,,,,
2013-10-04,"Running (jogging), 5 mph (12 min mile)",Cardio,355.0,25,,,,
2013-10-05,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,2416.0,475,,,,
2013-10-06,"Running (jogging), 5 mph (12 min mile)",Cardio,284.0,22,,,,
2013-10-07,"Running (jogging), 5 mph (12 min mile)",Cardio,211.0,13,,,,
2013-10-08,"Running (jogging), 5 mph (12 min mile)",Cardio,327.0,25,,,,
2013-10-12,"Running (jogging), 5 mph (12 min mile)",Cardio,377.0,22,,,,
2013-10-16,"Running (jogging), 5 mph (12 min mile)",Cardio,334.0,21,,,,
2013-10-17,"Running (jogging), 5 mph (12 min mile)",Cardio,380.0,22,,,,
2013-10-18,"Running (jogging), 5 mph (12 min mile)",Cardio,363.0,23,,,,
2013-10-31,"Running (jogging), 5 mph (12 min mile)",Cardio,307.0,23,,,,
2013-11-03,"Running (jogging), 5 mph (12 min mile)",Cardio,321.0,23,,,,
2013-11-04,"Running (jogging), 5 mph (12 min mile)",Cardio,326.0,23,,,,
2013-11-20,"Running (jogging), 5 mph (12 min mile)",Cardio,368.0,24,,,,
2013-12-05,"Running (jogging), 5 mph (12 min mile)",Cardio,306.0,30,,,,
2013-12-24,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1049.0,131,,,,
2014-01-07,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1463.0,137,,,,
2014-01-09,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1355.0,126,,,,
2014-01-10,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1403.0,143,,,,
2014-01-11,"Running (jogging), 5 mph (12 min mile)",Cardio,298.0,19,,,,
2014-01-13,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1504.0,146,,,,
2014-01-14,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1552.0,160,,,,
2014-01-15,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1389.0,146,,,,
2014-01-16,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1348.0,136,,,,
2014-01-17,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1173.0,146,,,,
2014-01-18,"Running (jogging), 5 mph (12 min mile)",Cardio,410.0,24,,,,
2014-01-19,"Basketball, shooting baskets",Cardio,570.0,50,,,,
2014-01-20,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1220.0,137,,,,
2014-01-21,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1226.0,137,,,,
2014-01-22,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,614.0,78,,,,
2014-01-22,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,581.0,56,,,,
2014-01-23,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1157.0,140,,,,
2014-01-24,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,982.0,124,,,,
2014-01-27,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1287.0,128,,,,
2014-01-28,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1190.0,129,,,,
2014-01-29,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1160.0,131,,,,
2014-01-30,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1200.0,123,,,,
2014-02-03,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",Cardio,608.0,60,,,,
2014-02-03,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",Cardio,811.0,62,,,,
2014-02-04,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1300.0,120,,,,
2014-02-05,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1119.0,120,,,,
2014-02-10,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1208.0,123,,,,
2014-02-11,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1226.0,115,,,,
2014-02-17,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1201.0,117,,,,
2014-02-18,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1142.0,123,,,,
2014-02-20,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1000.0,120,,,,
2014-02-21,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1088.0,120,,,,
2014-02-24,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1254.0,113,,,,
2014-02-26,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1112.0,116,,,,
2014-02-27,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1154.0,117,,,,
2014-02-28,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,1083.0,125,,,,
2014-05-05,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,950.0,119,,,,
2017-05-02,"Running (jogging), 5 mph (12 min mile)",Cardio,507.0,38,,,,
2017-05-03,"Running (jogging), 5 mph (12 min mile)",Cardio,557.0,42,,,,
2017-05-06,"Running (jogging), 5 mph (12 min mile)",Cardio,547.0,41,,,,
2017-05-07,"Running (jogging), 5 mph (12 min mile)",Cardio,525.0,39,,,,
2017-05-09,"Running (jogging), 5 mph (12 min mile)",Cardio,540.0,40,,,,
2017-12-02,"Running (jogging), 5 mph (12 min mile)",Cardio,547.0,38,,,,
2017-12-03,"Rowing, stationary, moderate effort",Cardio,76.0,6,,,,
2017-12-03,"Running (jogging), 5 mph (12 min mile)",Cardio,432.0,30,,,,
2017-12-03,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,151.0,12,,,,
2017-12-05,"Rowing, stationary, moderate effort",Cardio,100.0,8,,,,
2017-12-05,"Running (jogging), 5 mph (12 min mile)",Cardio,431.0,30,,,,
2017-12-05,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,314.0,25,,,,
2017-12-06,MFP Android Google calorie adjustment,Cardio,492.0,1,,,,7407
2017-12-06,"Rowing, stationary, moderate effort",Cardio,125.0,10,,,,
2017-12-06,"Running (jogging), 5 mph (12 min mile)",Cardio,503.0,35,,,,
2017-12-06,"Running (jogging), training, pushing wheelchair",Cardio,28.0,2,,,,
2017-12-06,"Stationary bike, moderate effort (bicycling, cycling, biking)",Cardio,365.0,29,,,,
